25610.0, {'360082': -0.2767857, '360086': -1.53125, 'GS_cluster_2415878664_254486231_359566_359576': -1.4241072}, {'360082': 1, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 1, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 16}, 
25620.0, {'360082': -0.09375, '360086': -0.03125, 'GS_cluster_2415878664_254486231_359566_359576': -2.174107}, {'360082': 4, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 4, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 19}, 
25630.0, {'360082': -0.13392857, '360086': -0.07589286, 'GS_cluster_2415878664_254486231_359566_359576': -3.0714285}, {'360082': 5, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 5}, {'360082': 5, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 22}, 
25640.0, {'360082': -0.19642857, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -3.294643}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 5}, {'360082': 5, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 21}, 
25650.0, {'360082': -0.3125, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -2.013393}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 5}, {'360082': 5, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 13}, 
25660.0, {'360082': -0.4375, '360086': -0.04464286, 'GS_cluster_2415878664_254486231_359566_359576': -0.89285713}, {'360082': 5, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 5, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 11}, 
25670.0, {'360082': -0.23214285, '360086': -0.20982143, 'GS_cluster_2415878664_254486231_359566_359576': -0.63839287}, {'360082': 6, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 6, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25680.0, {'360082': -0.20089285, '360086': -0.20089285, 'GS_cluster_2415878664_254486231_359566_359576': -0.90625}, {'360082': 3, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25690.0, {'360082': -0.084821425, '360086': -0.26785713, 'GS_cluster_2415878664_254486231_359566_359576': -0.058035713}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25700.0, {'360082': -0.16071428, '360086': -0.39732143, 'GS_cluster_2415878664_254486231_359566_359576': -0.03125}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 3, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25710.0, {'360082': -0.03125, '360086': -0.62946427, 'GS_cluster_2415878664_254486231_359566_359576': -0.058035713}, {'360082': 2, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 2, '360086': 6, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25720.0, {'360082': -0.16517857, '360086': -0.9598214, 'GS_cluster_2415878664_254486231_359566_359576': -0.13839285}, {'360082': 5, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 5, '360086': 8, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25730.0, {'360082': -0.08928572, '360086': -0.21875, 'GS_cluster_2415878664_254486231_359566_359576': -0.33035713}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 2, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25740.0, {'360082': -0.07589286, '360086': -0.38839287, 'GS_cluster_2415878664_254486231_359566_359576': -0.3169643}, {'360082': 1, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 6, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
