58750.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58760.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58770.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58780.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58790.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58800.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58810.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58820.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58830.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58840.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58850.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58860.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58870.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58880.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 30}, 
58890.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 30}, 
58900.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 34}, 
58910.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 34}, 
58920.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 34}, 
58930.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 34}, 
58940.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 26}, 
58950.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 27}, 
58960.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 32}, 
58970.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 26}, 
58980.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 19}, 
58990.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 23}, 
59000.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 34}, 
59010.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 44}, 
59020.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 47}, 
59030.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 51}, 
