59590.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59600.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59610.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
59620.0, {'gneJ207': -0.16517857}, {'gneJ207': 3}, {'gneJ207': 5}, 
59630.0, {'gneJ207': -0.46875}, {'gneJ207': 5}, {'gneJ207': 9}, 
59640.0, {'gneJ207': -1.0089285}, {'gneJ207': 7}, {'gneJ207': 15}, 
59650.0, {'gneJ207': -1.5625}, {'gneJ207': 7}, {'gneJ207': 13}, 
59660.0, {'gneJ207': -0.9151786}, {'gneJ207': 4}, {'gneJ207': 7}, 
59670.0, {'gneJ207': -1.2276785}, {'gneJ207': 4}, {'gneJ207': 7}, 
59680.0, {'gneJ207': -0.20089285}, {'gneJ207': 1}, {'gneJ207': 1}, 
59690.0, {'gneJ207': -0.35267857}, {'gneJ207': 4}, {'gneJ207': 8}, 
59700.0, {'gneJ207': -0.102678575}, {'gneJ207': 1}, {'gneJ207': 2}, 
59710.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59720.0, {'gneJ207': -0.04017857}, {'gneJ207': 2}, {'gneJ207': 3}, 
59730.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59740.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 1}, 
59750.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59760.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 1}, 
59770.0, {'gneJ207': -0.07589286}, {'gneJ207': 1}, {'gneJ207': 1}, 
59780.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
59790.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59800.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59810.0, {'gneJ207': -0.058035713}, {'gneJ207': 2}, {'gneJ207': 4}, 
59820.0, {'gneJ207': -0.09821428}, {'gneJ207': 1}, {'gneJ207': 2}, 
59830.0, {'gneJ207': -0.13839285}, {'gneJ207': 1}, {'gneJ207': 2}, 
59840.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59850.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 2}, 
59860.0, {'gneJ207': -0.13392857}, {'gneJ207': 1}, {'gneJ207': 4}, 
59870.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 1}, 
59880.0, {'gneJ207': -0.19642857}, {'gneJ207': 6}, {'gneJ207': 6}, 
59890.0, {'gneJ207': -0.24107143}, {'gneJ207': 3}, {'gneJ207': 3}, 
59900.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59910.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59920.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59930.0, {'gneJ207': -0.058035713}, {'gneJ207': 2}, {'gneJ207': 4}, 
59940.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59950.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59960.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59970.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59980.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59990.0, {'gneJ207': -0.09375}, {'gneJ207': 2}, {'gneJ207': 6}, 
60000.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
60010.0, {'gneJ207': -0.08035714}, {'gneJ207': 1}, {'gneJ207': 3}, 
60020.0, {'gneJ207': -0.33035713}, {'gneJ207': 3}, {'gneJ207': 7}, 
60030.0, {'gneJ207': -0.7723214}, {'gneJ207': 5}, {'gneJ207': 12}, 
60040.0, {'gneJ207': -0.40625}, {'gneJ207': 3}, {'gneJ207': 6}, 
60050.0, {'gneJ207': -0.071428575}, {'gneJ207': 1}, {'gneJ207': 1}, 
60060.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 2}, 
60070.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
60080.0, {'gneJ207': -0.12946428}, {'gneJ207': 3}, {'gneJ207': 5}, 
60090.0, {'gneJ207': -0.4330357}, {'gneJ207': 5}, {'gneJ207': 9}, 
60100.0, {'gneJ207': -0.29910713}, {'gneJ207': 2}, {'gneJ207': 6}, 
60110.0, {'gneJ207': -0.5089286}, {'gneJ207': 3}, {'gneJ207': 6}, 
60120.0, {'gneJ207': -0.72321427}, {'gneJ207': 3}, {'gneJ207': 7}, 
60130.0, {'gneJ207': -1.0044643}, {'gneJ207': 3}, {'gneJ207': 8}, 
60140.0, {'gneJ207': -0.084821425}, {'gneJ207': 2}, {'gneJ207': 2}, 
60150.0, {'gneJ207': -0.11160714}, {'gneJ207': 2}, {'gneJ207': 5}, 
60160.0, {'gneJ207': -0.41964287}, {'gneJ207': 3}, {'gneJ207': 8}, 
60170.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
60180.0, {'gneJ207': -0.125}, {'gneJ207': 2}, {'gneJ207': 3}, 
60190.0, {'gneJ207': -0.17857143}, {'gneJ207': 1}, {'gneJ207': 2}, 
60200.0, {'gneJ207': -0.16071428}, {'gneJ207': 1}, {'gneJ207': 1}, 
60210.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
60220.0, {'gneJ207': -0.08928572}, {'gneJ207': 1}, {'gneJ207': 4}, 
60230.0, {'gneJ207': -0.21875}, {'gneJ207': 2}, {'gneJ207': 4}, 
60240.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
60250.0, {'gneJ207': -0.071428575}, {'gneJ207': 1}, {'gneJ207': 1}, 
60260.0, {'gneJ207': -0.08035714}, {'gneJ207': 2}, {'gneJ207': 3}, 
60270.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
60280.0, {'gneJ207': -0.035714287}, {'gneJ207': 3}, {'gneJ207': 3}, 
60290.0, {'gneJ207': -0.3392857}, {'gneJ207': 7}, {'gneJ207': 11}, 
60300.0, {'gneJ207': -0.95089287}, {'gneJ207': 12}, {'gneJ207': 16}, 
60310.0, {'gneJ207': -1.2767857}, {'gneJ207': 13}, {'gneJ207': 16}, 
60320.0, {'gneJ207': -1.4553572}, {'gneJ207': 13}, {'gneJ207': 13}, 
60330.0, {'gneJ207': -1.4419643}, {'gneJ207': 10}, {'gneJ207': 11}, 
60340.0, {'gneJ207': -1.0714285}, {'gneJ207': 6}, {'gneJ207': 7}, 
60350.0, {'gneJ207': -0.9151786}, {'gneJ207': 4}, {'gneJ207': 5}, 
60360.0, {'gneJ207': -0.41517857}, {'gneJ207': 2}, {'gneJ207': 5}, 
60370.0, {'gneJ207': -0.42857143}, {'gneJ207': 3}, {'gneJ207': 6}, 
60380.0, {'gneJ207': -0.26339287}, {'gneJ207': 1}, {'gneJ207': 1}, 
