25420.0, {'247379907': -4.0, '252017285': -0.86160713, '256201389': 0.0, '26110729': -4.0, '280120513': -0.95089287, '32319828': 0.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -0.70535713}, {'247379907': 10, '252017285': 4, '256201389': 0, '26110729': 6, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 17, '252017285': 5, '256201389': 0, '26110729': 14, '280120513': 3, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 4}, 
25430.0, {'247379907': -4.0, '252017285': -1.0848215, '256201389': 0.0, '26110729': -4.0, '280120513': -1.0848215, '32319828': 0.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -0.67410713}, {'247379907': 11, '252017285': 4, '256201389': 0, '26110729': 6, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 19, '252017285': 5, '256201389': 0, '26110729': 14, '280120513': 3, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 4}, 
25440.0, {'247379907': -4.0, '252017285': -1.3080357, '256201389': 0.0, '26110729': -4.0, '280120513': -1.2366072, '32319828': 0.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -0.77678573}, {'247379907': 11, '252017285': 4, '256201389': 0, '26110729': 6, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 19, '252017285': 5, '256201389': 0, '26110729': 14, '280120513': 4, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, 
25450.0, {'247379907': -4.0, '252017285': -1.5669643, '256201389': 0.0, '26110729': -4.0, '280120513': -1.4151785, '32319828': 0.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -0.91071427}, {'247379907': 11, '252017285': 6, '256201389': 0, '26110729': 6, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 20, '252017285': 7, '256201389': 0, '26110729': 14, '280120513': 4, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, 
25460.0, {'247379907': -4.0, '252017285': -1.8794643, '256201389': 0.0, '26110729': -4.0, '280120513': -1.59375, '32319828': 0.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -1.0446428}, {'247379907': 11, '252017285': 6, '256201389': 0, '26110729': 6, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 20, '252017285': 7, '256201389': 0, '26110729': 16, '280120513': 4, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, 
25470.0, {'247379907': -4.0, '252017285': -2.1919644, '256201389': 0.0, '26110729': -4.0, '280120513': -1.7723215, '32319828': 0.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -1.1785715}, {'247379907': 11, '252017285': 6, '256201389': 0, '26110729': 6, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 20, '252017285': 7, '256201389': 0, '26110729': 16, '280120513': 4, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, 
25480.0, {'247379907': -4.0, '252017285': -2.5044644, '256201389': 0.0, '26110729': -4.0, '280120513': -1.9508928, '32319828': 0.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -1.3125}, {'247379907': 12, '252017285': 6, '256201389': 0, '26110729': 7, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 22, '252017285': 7, '256201389': 0, '26110729': 17, '280120513': 4, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, 
25490.0, {'247379907': -4.0, '252017285': -2.8169644, '256201389': 0.0, '26110729': -4.0, '280120513': -2.1294644, '32319828': 0.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -1.4464285}, {'247379907': 12, '252017285': 6, '256201389': 0, '26110729': 9, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 23, '252017285': 7, '256201389': 0, '26110729': 19, '280120513': 4, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, 
25500.0, {'247379907': -4.0, '252017285': -3.1294644, '256201389': 0.0, '26110729': -4.0, '280120513': -2.3080356, '32319828': 0.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -1.5803572}, {'247379907': 12, '252017285': 6, '256201389': 0, '26110729': 10, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 23, '252017285': 7, '256201389': 0, '26110729': 22, '280120513': 4, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, 
25510.0, {'247379907': -4.0, '252017285': -3.4419644, '256201389': 0.0, '26110729': -4.0, '280120513': -2.486607, '32319828': 0.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -1.7142857}, {'247379907': 12, '252017285': 6, '256201389': 0, '26110729': 10, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 24, '252017285': 7, '256201389': 0, '26110729': 22, '280120513': 4, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 3}, 
